County Name,State,2023-07-23
Coke County ,TX,21
Coleman County ,TX,77
Collin County ,TX,1635
Collingsworth County ,TX,17
Colorado County ,TX,68
Comal County ,TX,587
Comanche County ,TX,85
Concho County ,TX,14
Cooke County ,TX,147
Coryell County ,TX,235
Cottle County ,TX,9
Crane County ,TX,25
Crockett County ,TX,21
Crosby County ,TX,46
Culberson County ,TX,14
Dallam County ,TX,45
Dallas County ,TX,7173
Dawson County ,TX,102
Deaf Smith County ,TX,119
Delta County ,TX,28
Denton County ,TX,1461
DeWitt County ,TX,116
Dickens County ,TX,16
Dimmit County ,TX,52
Donley County ,TX,26
Duval County ,TX,74
Eastland County ,TX,120
Ector County ,TX,740
Edwards County ,TX,12
Ellis County ,TX,620
El Paso County ,TX,3921
Erath County ,TX,132
Falls County ,TX,72
Fannin County ,TX,194
Fayette County ,TX,119
Fisher County ,TX,28
Floyd County ,TX,50
Foard County ,TX,12
Fort Bend County ,TX,1260
Franklin County ,TX,46
Freestone County ,TX,88
Frio County ,TX,95
Gaines County ,TX,85
Galveston County ,TX,910
Garza County ,TX,31
Gillespie County ,TX,120
Glasscock County ,TX,3
Goliad County ,TX,34
Gonzales County ,TX,107
Gray County ,TX,134
Grayson County ,TX,688
Gregg County ,TX,730
Grimes County ,TX,129
Guadalupe County ,TX,433
Hale County ,TX,251
Hall County ,TX,24
Hamilton County ,TX,36
Hansford County ,TX,33
Hardeman County ,TX,23
Hardin County ,TX,262
Harris County ,TX,11691
Harrison County ,TX,239
Hartley County ,TX,3
Haskell County ,TX,41
Hays County ,TX,478
Hemphill County ,TX,10
Henderson County ,TX,448
Hidalgo County ,TX,3702
Hill County ,TX,207
Hockley County ,TX,169
Hood County ,TX,302
Hopkins County ,TX,193
Houston County ,TX,121
Howard County ,TX,196
Hudspeth County ,TX,18
Hunt County ,TX,379
Hutchinson County ,TX,149
Irion County ,TX,3
Jack County ,TX,32
Jackson County ,TX,64
Jasper County ,TX,202
Jeff Davis County ,TX,10
Jefferson County ,TX,882
Jim Hogg County ,TX,23
Jim Wells County ,TX,226
Johnson County ,TX,792
Jones County ,TX,97
Karnes County ,TX,75
Kaufman County ,TX,563
Kendall County ,TX,135
Kenedy County ,TX,2
Kent County ,TX,4
Kerr County ,TX,206
Kimble County ,TX,16
King County ,TX,0
Kinney County ,TX,14
Kleberg County ,TX,155
Knox County ,TX,25
Lamar County ,TX,282
Lamb County ,TX,128
Lampasas County ,TX,97
La Salle County ,TX,50
Lavaca County ,TX,124
Lee County ,TX,65
Leon County ,TX,95
Liberty County ,TX,420
Limestone County ,TX,137
Lipscomb County ,TX,17
Live Oak County ,TX,43
Llano County ,TX,102
Loving County ,TX,1
Lubbock County ,TX,1402
Lynn County ,TX,41
McCulloch County ,TX,52
McLennan County ,TX,976
McMullen County ,TX,10
Madison County ,TX,59
Marion County ,TX,62
Martin County ,TX,26
Mason County ,TX,13
Matagorda County ,TX,185
Maverick County ,TX,481
Medina County ,TX,213
Menard County ,TX,13
Midland County ,TX,520
Milam County ,TX,109
Mills County ,TX,40
Mitchell County ,TX,52
Montague County ,TX,136
Montgomery County ,TX,1394
Moore County ,TX,116
Morris County ,TX,76
Motley County ,TX,13
Nacogdoches County ,TX,280
Navarro County ,TX,234
Newton County ,TX,64
Nolan County ,TX,108
Nueces County ,TX,1360
Ochiltree County ,TX,50
Oldham County ,TX,6
Orange County ,TX,381
Palo Pinto County ,TX,159
Panola County ,TX,139
Parker County ,TX,494
Parmer County ,TX,54
Pecos County ,TX,72
Polk County ,TX,266
Potter County ,TX,675
Presidio County ,TX,42
Rains County ,TX,62
Randall County ,TX,517
Reagan County ,TX,16
Real County ,TX,25
Red River County ,TX,75
Reeves County ,TX,77
Refugio County ,TX,42
Roberts County ,TX,2
Robertson County ,TX,79
Rockwall County ,TX,286
Runnels County ,TX,73
Rusk County ,TX,244
Sabine County ,TX,94
San Augustine County ,TX,47
San Jacinto County ,TX,111
San Patricio County ,TX,366
San Saba County ,TX,40
Schleicher County ,TX,9
Scurry County ,TX,108
Shackelford County ,TX,12
Shelby County ,TX,139
Sherman County ,TX,16
Smith County ,TX,1023
Somervell County ,TX,37
Starr County ,TX,392
Stephens County ,TX,53
Sterling County ,TX,9
Stonewall County ,TX,7
Sutton County ,TX,14
Swisher County ,TX,34
Tarrant County ,TX,5622
Taylor County ,TX,780
Terrell County ,TX,3
Terry County ,TX,88
Throckmorton County ,TX,10
Titus County ,TX,139
Tom Green County ,TX,491
Travis County ,TX,1865
Trinity County ,TX,81
Tyler County ,TX,91
Upshur County ,TX,197
Upton County ,TX,19
Uvalde County ,TX,152
Val Verde County ,TX,313
Van Zandt County ,TX,302
Victoria County ,TX,431
Walker County ,TX,216
Waller County ,TX,114
Ward County ,TX,51
Washington County ,TX,157
Webb County ,TX,1092
Wharton County ,TX,230
Wheeler County ,TX,24
Wichita County ,TX,761
Wilbarger County ,TX,94
Willacy County ,TX,139
Williamson County ,TX,952
Wilson County ,TX,168
Winkler County ,TX,36
Wise County ,TX,287
Wood County ,TX,311
Yoakum County ,TX,44
Young County ,TX,103
Zapata County ,TX,57
Zavala County ,TX,70
Statewide Unallocated,UT,603
Beaver County ,UT,7
Box Elder County ,UT,137
Cache County ,UT,135
Carbon County ,UT,46
Daggett County ,UT,0
Davis County ,UT,463
Duchesne County ,UT,9
Emery County ,UT,28
Garfield County ,UT,10
Grand County ,UT,6
Iron County ,UT,32
Juab County ,UT,26
Kane County ,UT,5
Millard County ,UT,36
Morgan County ,UT,16
Piute County ,UT,8
Rich County ,UT,3
Salt Lake County ,UT,1880
San Juan County ,UT,53
Sanpete County ,UT,64
Sevier County ,UT,33
Summit County ,UT,30
Tooele County ,UT,117
Uintah County ,UT,18
Utah County ,UT,892
Wasatch County ,UT,39
Washington County ,UT,204
Wayne County ,UT,0
Weber County ,UT,497
Statewide Unallocated,VT,21
Addison County ,VT,33
Bennington County ,VT,94
Caledonia County ,VT,41
Chittenden County ,VT,230
Essex County ,VT,4
Franklin County ,VT,86
Grand Isle County ,VT,8
Lamoille County ,VT,28
Orange County ,VT,17
Orleans County ,VT,49
Rutland County ,VT,98
Washington County ,VT,80
Windham County ,VT,53
Windsor County ,VT,68
Statewide Unallocated,VA,0
Accomack County ,VA,122
Albemarle County ,VA,209
Alleghany County ,VA,112
Amelia County ,VA,64
Amherst County ,VA,114
Appomattox County ,VA,63
Arlington County ,VA,371
Augusta County ,VA,236
Bath County ,VA,21
Bedford County ,VA,288
Bland County ,VA,25
Botetourt County ,VA,118
Brunswick County ,VA,54
Buchanan County ,VA,149
Buckingham County ,VA,65
Campbell County ,VA,239
Caroline County ,VA,95
Carroll County ,VA,179
Charles City County ,VA,31
Charlotte County ,VA,50
Chesterfield County ,VA,874
Clarke County ,VA,58
Craig County ,VA,25
Culpeper County ,VA,178
Cumberland County ,VA,31
Dickenson County ,VA,72
Dinwiddie County ,VA,110
Essex County ,VA,42
Fairfax County ,VA,1719
Fauquier County ,VA,164
Floyd County ,VA,55
Fluvanna County ,VA,54
Franklin County ,VA,231
Frederick County ,VA,292
Giles County ,VA,60
Gloucester County ,VA,116
Goochland County ,VA,63
Grayson County ,VA,98
Greene County ,VA,65
Greensville County ,VA,45
Halifax County ,VA,195
Hanover County ,VA,348
Henrico County ,VA,1100
Henry County ,VA,330
Highland County ,VA,6
Isle of Wight County ,VA,130
James City County ,VA,155
King and Queen County ,VA,15
King George County ,VA,57
King William County ,VA,53
Lancaster County ,VA,42
Lee County ,VA,132
Loudoun County ,VA,449
Louisa County ,VA,103
Lunenburg County ,VA,45
Madison County ,VA,49
Mathews County ,VA,27
Mecklenburg County ,VA,148
Middlesex County ,VA,55
Montgomery County ,VA,190
Nelson County ,VA,40
New Kent County ,VA,45
Northampton County ,VA,79
Northumberland County ,VA,47
Nottoway County ,VA,104
Orange County ,VA,110
Page County ,VA,134
Patrick County ,VA,122
Pittsylvania County ,VA,249
Powhatan County ,VA,67
Prince Edward County ,VA,90
Prince George County ,VA,90
Prince William County ,VA,840
Pulaski County ,VA,171
Rappahannock County ,VA,14
Richmond County ,VA,30
Roanoke County ,VA,320
Rockbridge County ,VA,93
Rockingham County ,VA,273
Russell County ,VA,139
Scott County ,VA,146
Shenandoah County ,VA,265
Smyth County ,VA,208
Southampton County ,VA,109
Spotsylvania County ,VA,342
Stafford County ,VA,202
Surry County ,VA,23
Sussex County ,VA,49
Tazewell County ,VA,225
Warren County ,VA,185
Washington County ,VA,269
Westmoreland County ,VA,60
Wise County ,VA,238
Wythe County ,VA,173
York County ,VA,136
City of Alexandria,VA,233
City of Bristol,VA,113
City of Buena Vista,VA,48
City of Charlottesville,VA,86
City of Chesapeake,VA,569
City of Colonial Heights,VA,112
City of Covington,VA,31
City of Danville,VA,304
City of Emporia,VA,57
City of Fairfax,VA,50
City of Falls Church,VA,21
City of Franklin,VA,56
City of Fredericksburg,VA,52
City of Galax,VA,86
City of Hampton,VA,375
City of Harrisonburg,VA,185
City of Hopewell,VA,127
City of Lexington,VA,34
City of Lynchburg,VA,330
City of Manassas,VA,80
City of Manassas Park,VA,31
City of Martinsville,VA,126
City of Newport News,VA,460
City of Norfolk,VA,549
City of Norton,VA,22
City of Petersburg,VA,151
City of Poquoson,VA,31
City of Portsmouth,VA,370
City of Radford,VA,50
City of Richmond,VA,545
City of Roanoke,VA,442
City of Salem,VA,113
City of Staunton,VA,138
City of Suffolk,VA,346
City of Virginia Beach,VA,957
City of Waynesboro,VA,90
City of Williamsburg,VA,25
City of Winchester,VA,101
Statewide Unallocated,WA,16
Adams County ,WA,51
Asotin County ,WA,84
Benton County ,WA,548
Chelan County ,WA,184
Clallam County ,WA,213
Clark County ,WA,1045
Columbia County ,WA,20
Cowlitz County ,WA,424
Douglas County ,WA,100
Ferry County ,WA,35
Franklin County ,WA,222
Garfield County ,WA,7
Grant County ,WA,240
Grays Harbor County ,WA,266
Island County ,WA,141
Jefferson County ,WA,45
King County ,WA,3529
Kitsap County ,WA,442
Kittitas County ,WA,89
Klickitat County ,WA,64
Lewis County ,WA,290
Lincoln County ,WA,34
Mason County ,WA,189
Okanogan County ,WA,148
Pacific County ,WA,78
Pend Oreille County ,WA,49
Pierce County ,WA,1664
San Juan County ,WA,5
Skagit County ,WA,285
Skamania County ,WA,21
Snohomish County ,WA,1459
Spokane County ,WA,1666
Stevens County ,WA,191
Thurston County ,WA,559
Wahkiakum County ,WA,15
Walla Walla County ,WA,176
Whatcom County ,WA,408
Whitman County ,WA,98
Yakima County ,WA,872
Statewide Unallocated,WV,237
Barbour County ,WV,77
Berkeley County ,WV,346
Boone County ,WV,102
Braxton County ,WV,52
Brooke County ,WV,111
Cabell County ,WV,442
Calhoun County ,WV,15
Clay County ,WV,54
Doddridge County ,WV,20
Fayette County ,WV,235
Gilmer County ,WV,23
Grant County ,WV,61
Greenbrier County ,WV,184
Hampshire County ,WV,75
Hancock County ,WV,152
Hardy County ,WV,52
Harrison County ,WV,290
Jackson County ,WV,159
Jefferson County ,WV,151
Kanawha County ,WV,879
Lewis County ,WV,96
Lincoln County ,WV,96
Logan County ,WV,204
McDowell County ,WV,87
Marion County ,WV,208
Marshall County ,WV,171
Mason County ,WV,111
Mercer County ,WV,290
Mineral County ,WV,167
Mingo County ,WV,135
Monongalia County ,WV,218
Monroe County ,WV,50
Morgan County ,WV,78
Nicholas County ,WV,112
Ohio County ,WV,198
Pendleton County ,WV,24
Pleasants County ,WV,39
Pocahontas County ,WV,36
Preston County ,WV,145
Putnam County ,WV,221
Raleigh County ,WV,423
Randolph County ,WV,99
Ritchie County ,WV,34
Roane County ,WV,51
Summers County ,WV,66
Taylor County ,WV,84
Tucker County ,WV,39
Tyler County ,WV,33
Upshur County ,WV,105
Wayne County ,WV,148
Webster County ,WV,38
Wetzel County ,WV,97
Wirt County ,WV,28
Wood County ,WV,380
Wyoming County ,WV,135
Statewide Unallocated,WI,0
Adams County ,WI,70
Ashland County ,WI,43
Barron County ,WI,160
Bayfield County ,WI,49
Brown County ,WI,637
Buffalo County ,WI,16
Burnett County ,WI,45
Calumet County ,WI,138
Chippewa County ,WI,222
Clark County ,WI,137
Columbia County ,WI,151
Crawford County ,WI,34
Dane County ,WI,685
Dodge County ,WI,388
Door County ,WI,94
Douglas County ,WI,95
Dunn County ,WI,87
Eau Claire County ,WI,218
Florence County ,WI,17
Fond du Lac County ,WI,330
Forest County ,WI,56
Grant County ,WI,164
Green County ,WI,71
Green Lake County ,WI,72
Iowa County ,WI,36
Iron County ,WI,50
Jackson County ,WI,48
Jefferson County ,WI,278
Juneau County ,WI,80
Kenosha County ,WI,729
Kewaunee County ,WI,72
La Crosse County ,WI,230
Lafayette County ,WI,36
Langlade County ,WI,109
Lincoln County ,WI,160
Manitowoc County ,WI,223
Marathon County ,WI,558
Marinette County ,WI,154
Marquette County ,WI,71
Menominee County ,WI,16
Milwaukee County ,WI,2532
Monroe County ,WI,123
Oconto County ,WI,137
Oneida County ,WI,158
Outagamie County ,WI,461
Ozaukee County ,WI,216
Pepin County ,WI,19
Pierce County ,WI,80
Polk County ,WI,135
Portage County ,WI,184
Price County ,WI,44
Racine County ,WI,768
Richland County ,WI,61
Rock County ,WI,475
Rusk County ,WI,67
St. Croix County ,WI,172
Sauk County ,WI,175
Sawyer County ,WI,71
Shawano County ,WI,166
Sheboygan County ,WI,377
Taylor County ,WI,83
Trempealeau County ,WI,77
Vernon County ,WI,122
Vilas County ,WI,110
Walworth County ,WI,316
Washburn County ,WI,53
Washington County ,WI,376
Waukesha County ,WI,1277
Waupaca County ,WI,269
Waushara County ,WI,94
Winnebago County ,WI,424
Wood County ,WI,272
Statewide Unallocated,WY,0
Albany County ,WY,54
Big Horn County ,WY,66
Campbell County ,WY,167
Carbon County ,WY,55
Converse County ,WY,58
Crook County ,WY,34
Fremont County ,WY,208
Goshen County ,WY,67
Hot Springs County ,WY,22
Johnson County ,WY,22
Laramie County ,WY,328
Lincoln County ,WY,38
Natrona County ,WY,312
Niobrara County ,WY,12
Park County ,WY,154
Platte County ,WY,46
Sheridan County ,WY,92
Sublette County ,WY,28
Sweetwater County ,WY,142
Teton County ,WY,16
Uinta County ,WY,43
Washakie County ,WY,51
Weston County ,WY,24
