County,State,TotalPop,IncomePerCap,Poverty,Unemployment
Gilliam County,Oregon,1910,24178,9.9,7.5
Grant County,Oregon,7209,25154,13.7,7.6
Harney County,Oregon,7195,24398,17.5,13.1
Hood River County,Oregon,22938,29595,12.1,5.1
Jackson County,Oregon,212070,27081,16.7,7.5
Jefferson County,Oregon,22707,22957,20.9,11.9
Josephine County,Oregon,84514,24349,18.6,9.0
Klamath County,Oregon,66018,23793,18.7,9.1
Lake County,Oregon,7807,21005,20.0,6.9
Lane County,Oregon,363471,27032,18.8,7.6
Lincoln County,Oregon,47307,25782,18.4,6.5
Linn County,Oregon,121074,24448,16.1,8.8
Malheur County,Oregon,30421,17567,25.2,8.6
Marion County,Oregon,330453,24791,15.9,6.8
Morrow County,Oregon,11153,21743,14.7,4.8
Multnomah County,Oregon,788459,34848,16.4,6.8
Polk County,Oregon,79666,25928,15.4,8.3
Sherman County,Oregon,1635,34226,13.7,4.9
Tillamook County,Oregon,25840,25458,15.5,5.5
Umatilla County,Oregon,76736,22153,17.8,8.3
Union County,Oregon,25810,26586,17.4,6.5
Wallowa County,Oregon,6864,26898,13.7,4.9
Wasco County,Oregon,25687,24727,13.7,6.5
Washington County,Oregon,572071,35369,10.3,5.6
Wheeler County,Oregon,1415,21268,20.6,8.3
Yamhill County,Oregon,102366,28540,13.7,6.6
Adams County,Pennsylvania,101589,29685,8.8,4.9
Allegheny County,Pennsylvania,1229605,35280,12.5,5.9
Armstrong County,Pennsylvania,66737,25502,13.0,6.9
Beaver County,Pennsylvania,168161,29162,10.8,5.6
Bedford County,Pennsylvania,48891,24219,13.6,5.9
Berks County,Pennsylvania,415500,29041,13.6,7.3
Blair County,Pennsylvania,124736,25531,15.2,5.2
Bradford County,Pennsylvania,61546,26937,12.2,5.6
Bucks County,Pennsylvania,626486,41924,6.1,5.4
Butler County,Pennsylvania,185984,35101,8.4,4.5
Cambria County,Pennsylvania,135871,24838,15.6,7.5
Cameron County,Pennsylvania,4754,24933,14.4,4.1
Carbon County,Pennsylvania,63987,25680,12.8,7.6
Centre County,Pennsylvania,160646,28545,18.4,4.6
Chester County,Pennsylvania,514652,46256,6.9,4.8
Clarion County,Pennsylvania,38747,23595,17.5,6.6
Clearfield County,Pennsylvania,80539,22568,15.3,8.2
Clinton County,Pennsylvania,39321,22794,17.2,5.9
Columbia County,Pennsylvania,66615,24908,15.9,5.1
Crawford County,Pennsylvania,86847,24716,14.5,6.0
Cumberland County,Pennsylvania,245801,34246,7.8,4.2
Dauphin County,Pennsylvania,273329,31152,13.2,5.7
Delaware County,Pennsylvania,563384,36747,10.4,6.8
Elk County,Pennsylvania,30781,27163,9.4,4.8
Erie County,Pennsylvania,277794,26361,16.8,6.5
Fayette County,Pennsylvania,133160,24247,18.8,7.5
Forest County,Pennsylvania,7388,14989,14.1,5.4
Franklin County,Pennsylvania,153003,28985,10.4,5.7
Fulton County,Pennsylvania,14631,25273,11.5,6.5
Greene County,Pennsylvania,37338,25574,14.8,5.7
Huntingdon County,Pennsylvania,45686,22908,13.6,6.7
Indiana County,Pennsylvania,86551,25014,16.6,7.8
Jefferson County,Pennsylvania,44258,23895,14.2,4.7
Juniata County,Pennsylvania,24448,24068,13.1,4.4
Lackawanna County,Pennsylvania,211960,27258,15.4,5.4
Lancaster County,Pennsylvania,536494,29280,10.4,4.7
Lawrence County,Pennsylvania,88231,26918,14.0,6.5
Lebanon County,Pennsylvania,137616,27916,10.5,5.8
Lehigh County,Pennsylvania,360774,30988,13.3,7.0
Luzerne County,Pennsylvania,318222,26809,15.2,7.0
Lycoming County,Pennsylvania,115398,26265,14.0,6.2
McKean County,Pennsylvania,42070,24868,17.3,7.5
Mercer County,Pennsylvania,113623,25499,13.7,5.8
Mifflin County,Pennsylvania,46452,23568,13.5,4.2
Monroe County,Pennsylvania,167306,27439,11.1,9.2
Montgomery County,Pennsylvania,818677,45048,6.4,5.2
Montour County,Pennsylvania,18302,31818,10.5,4.4
Northampton County,Pennsylvania,300941,32608,9.2,5.7
Northumberland County,Pennsylvania,93038,24278,14.4,5.1
Perry County,Pennsylvania,45878,28900,8.4,4.3
Philadelphia County,Pennsylvania,1569657,24811,25.8,11.3
Pike County,Pennsylvania,55687,31156,9.9,7.8
Potter County,Pennsylvania,17070,23213,14.4,6.7
Schuylkill County,Pennsylvania,144287,25224,12.5,6.9
Snyder County,Pennsylvania,40570,24961,11.3,3.6
Somerset County,Pennsylvania,75619,23877,12.7,6.1
Sullivan County,Pennsylvania,6192,26720,13.1,8.8
Susquehanna County,Pennsylvania,41716,27823,13.0,6.7
Tioga County,Pennsylvania,41550,25353,13.4,6.4
Union County,Pennsylvania,45056,25089,10.2,3.4
Venango County,Pennsylvania,52880,25190,13.6,7.6
Warren County,Pennsylvania,40345,26558,13.4,5.7
Washington County,Pennsylvania,207661,32828,9.7,5.8
Wayne County,Pennsylvania,51656,25569,11.1,6.5
Westmoreland County,Pennsylvania,356835,31827,10.3,4.9
Wyoming County,Pennsylvania,27760,28046,10.4,6.5
York County,Pennsylvania,442216,30178,10.3,5.4
Bristol County,Rhode Island,49028,42360,7.0,4.2
Kent County,Rhode Island,164012,37157,7.8,6.1
Newport County,Rhode Island,83204,43603,9.0,5.4
Providence County,Rhode Island,633704,29025,16.7,7.6
Washington County,Rhode Island,126190,39568,9.6,6.0
Abbeville County,South Carolina,24788,19234,22.7,9.4
Aiken County,South Carolina,165707,26222,16.7,9.0
Allendale County,South Carolina,9402,13439,30.4,17.3
Anderson County,South Carolina,194174,24485,15.6,6.7
Bamberg County,South Carolina,14842,19256,24.5,6.5
Barnwell County,South Carolina,21788,20018,27.0,10.1
Beaufort County,South Carolina,179316,34966,11.9,6.3
Berkeley County,South Carolina,204632,27010,12.8,6.4
Calhoun County,South Carolina,14808,24766,18.3,6.5
Charleston County,South Carolina,387847,35587,15.3,5.3
Cherokee County,South Carolina,56549,20516,22.0,7.8
Chester County,South Carolina,32424,20518,21.8,9.8
Chesterfield County,South Carolina,46127,19768,23.8,9.0
Clarendon County,South Carolina,34156,20616,23.3,12.0
Colleton County,South Carolina,37581,21059,22.3,9.5
Darlington County,South Carolina,67572,21225,22.7,13.1
Dillon County,South Carolina,31073,15638,30.6,9.1
Dorchester County,South Carolina,151716,27317,11.8,6.2
Edgefield County,South Carolina,26620,23804,15.5,7.3
Fairfield County,South Carolina,22868,21972,21.3,9.3
Florence County,South Carolina,138537,23797,19.6,9.5
Georgetown County,South Carolina,61065,28748,18.7,9.6
Greenville County,South Carolina,490332,29132,13.5,5.5
Greenwood County,South Carolina,69981,22636,24.2,9.7
Hampton County,South Carolina,20066,17676,18.4,9.7
Horry County,South Carolina,310186,25804,17.0,7.1
Jasper County,South Carolina,27465,20067,22.6,10.7
Kershaw County,South Carolina,63734,23530,16.4,7.0
Lancaster County,South Carolina,86544,26425,15.5,7.7
Laurens County,South Carolina,66508,20748,20.7,7.9
Lee County,South Carolina,17897,16972,26.4,9.0
Lexington County,South Carolina,281870,29311,12.8,6.0
McCormick County,South Carolina,9694,22836,20.1,15.3
Marion County,South Carolina,31765,18556,26.5,10.7
Marlboro County,South Carolina,27505,16561,26.6,14.6
Newberry County,South Carolina,37914,22190,19.8,8.1
Oconee County,South Carolina,75926,26798,18.6,6.6
Orangeburg County,South Carolina,89116,19489,23.2,9.7
Pickens County,South Carolina,121449,23501,18.3,6.8
Richland County,South Carolina,404869,28018,16.7,7.7
Saluda County,South Carolina,20228,20390,20.5,6.7
Spartanburg County,South Carolina,297732,24786,15.6,6.2
Sumter County,South Carolina,107379,21733,21.1,11.4
Union County,South Carolina,27772,21183,19.3,7.4
Williamsburg County,South Carolina,32256,17440,28.2,9.8
York County,South Carolina,251664,30387,12.3,6.6
Aurora County,South Dakota,2739,30872,6.2,1.4
Beadle County,South Dakota,18163,24950,23.7,2.1
Bennett County,South Dakota,3440,15287,38.1,13.5
Bon Homme County,South Dakota,6972,24858,10.3,1.2
Brookings County,South Dakota,33697,27197,15.9,3.3
Brown County,South Dakota,38637,31493,11.0,1.8
Brule County,South Dakota,5280,26074,14.6,2.0
Buffalo County,South Dakota,2048,10960,40.5,17.0
Butte County,South Dakota,10194,26178,11.1,2.8
Campbell County,South Dakota,1443,36158,4.7,1.0
Charles Mix County,South Dakota,9319,21805,21.4,5.2
Clark County,South Dakota,3642,26759,13.3,4.0
Clay County,South Dakota,13907,24541,24.7,6.4
Codington County,South Dakota,27963,29249,11.7,2.5
Corson County,South Dakota,4177,15160,47.9,28.7
Custer County,South Dakota,8519,31015,13.2,4.0
Davison County,South Dakota,19753,28086,12.6,3.9
Day County,South Dakota,5524,30841,16.5,1.5
Deuel County,South Dakota,4282,29204,10.0,1.8
Dewey County,South Dakota,5709,17267,31.4,25.9
Douglas County,South Dakota,2940,27603,8.2,0.9
Edmunds County,South Dakota,3971,31836,5.9,1.6
Fall River County,South Dakota,6783,26584,15.0,2.6
Faulk County,South Dakota,2327,29714,10.9,0.3
Grant County,South Dakota,7133,29363,7.6,3.3
Gregory County,South Dakota,4209,26169,15.3,0.8
Haakon County,South Dakota,2084,22863,17.2,2.2
Hamlin County,South Dakota,5911,27060,5.6,1.7
Hand County,South Dakota,3303,33109,8.2,1.5
Hanson County,South Dakota,3404,24805,6.5,0.4
Harding County,South Dakota,1281,30464,12.9,1.5
Hughes County,South Dakota,17572,32000,11.3,2.1
Hutchinson County,South Dakota,7277,29869,13.0,5.3
Hyde County,South Dakota,1373,30277,14.2,3.0
Jackson County,South Dakota,3275,16939,44.8,12.0
Jerauld County,South Dakota,2034,38776,8.9,0.2
Jones County,South Dakota,740,26526,10.8,2.9
Kingsbury County,South Dakota,5000,33333,9.5,1.8
Lake County,South Dakota,12350,31145,15.5,3.9
Lawrence County,South Dakota,25018,28606,12.4,3.1
Lincoln County,South Dakota,53147,39404,3.0,2.1
Lyman County,South Dakota,3882,21155,21.7,6.3
McCook County,South Dakota,5515,29254,9.3,2.5
McPherson County,South Dakota,2366,25975,17.0,6.7
Marshall County,South Dakota,4759,28861,8.3,1.6
Meade County,South Dakota,27066,26896,8.8,1.3
Mellette County,South Dakota,2062,14264,42.6,6.6
Miner County,South Dakota,2255,28633,11.6,2.0
Minnehaha County,South Dakota,183660,29551,11.0,3.4
Moody County,South Dakota,6496,27774,15.9,4.9
Oglala Lakota County,South Dakota,14291,9334,51.9,22.7
Pennington County,South Dakota,108126,28910,14.0,4.2
Perkins County,South Dakota,2964,30120,12.0,3.8
Potter County,South Dakota,2318,32853,6.5,0.9
Roberts County,South Dakota,10250,25767,18.8,7.0
Sanborn County,South Dakota,2366,31965,9.7,3.0
Spink County,South Dakota,6478,31957,9.9,1.9
Stanley County,South Dakota,2994,32862,5.8,1.0
Sully County,South Dakota,1390,39888,3.3,0.5
Todd County,South Dakota,10016,11665,52.0,15.1
Tripp County,South Dakota,5480,27613,19.7,1.8
Turner County,South Dakota,8242,27844,10.6,2.2
Union County,South Dakota,14929,37093,7.3,2.1
Walworth County,South Dakota,5502,29457,10.2,3.7
Yankton County,South Dakota,22660,30395,13.1,2.8
Ziebach County,South Dakota,2837,13461,43.1,27.0
Anderson County,Tennessee,75538,26972,16.3,6.9
Bedford County,Tennessee,46854,22953,16.9,5.6
Benton County,Tennessee,16154,21282,22.3,9.1
Bledsoe County,Tennessee,14413,21402,20.7,8.4
Blount County,Tennessee,127135,28334,13.0,5.9
Bradley County,Tennessee,103666,25144,18.0,7.2
Campbell County,Tennessee,39824,21282,20.6,8.0
Cannon County,Tennessee,13839,24595,17.0,6.6
Carroll County,Tennessee,28137,20557,19.8,6.9
Carter County,Tennessee,56500,21001,24.5,6.3
Cheatham County,Tennessee,39713,25673,12.7,5.5
Chester County,Tennessee,17097,20497,18.2,10.3
Claiborne County,Tennessee,31566,20184,22.4,8.5
Clay County,Tennessee,7684,17667,26.6,5.3
Cocke County,Tennessee,35262,20189,25.0,9.6
Coffee County,Tennessee,54074,24748,15.2,5.8
Crockett County,Tennessee,14554,21056,17.7,5.9
Cumberland County,Tennessee,58178,23668,16.0,7.6
Davidson County,Tennessee,678322,32347,16.9,5.3
Decatur County,Tennessee,11681,21098,22.6,9.7
DeKalb County,Tennessee,19380,25443,18.9,5.6
Dickson County,Tennessee,51341,25211,14.5,4.7
Dyer County,Tennessee,37751,24695,18.1,7.3
Fayette County,Tennessee,39336,30471,14.4,7.9
Fentress County,Tennessee,17940,18171,23.0,7.3
Franklin County,Tennessee,41397,25637,15.0,6.9
Gibson County,Tennessee,49222,21858,17.1,6.1
Giles County,Tennessee,29024,22994,15.9,5.9
Grainger County,Tennessee,22942,20966,18.7,6.4
Greene County,Tennessee,68520,21960,17.2,7.2
Grundy County,Tennessee,13359,15824,28.5,12.2
Hamblen County,Tennessee,63465,21962,19.8,7.6
Hamilton County,Tennessee,354589,29711,14.5,5.9
Hancock County,Tennessee,6605,19396,25.7,10.0
Hardeman County,Tennessee,25784,16938,21.2,15.8
Hardin County,Tennessee,25813,23328,21.5,9.5
Hawkins County,Tennessee,56402,22141,19.3,7.4
Haywood County,Tennessee,17944,21453,19.1,6.8
Henderson County,Tennessee,27889,21344,19.5,9.5
Henry County,Tennessee,32263,22952,19.7,6.7
Hickman County,Tennessee,24502,20936,19.7,6.2
Houston County,Tennessee,8188,20819,17.1,6.6
Humphreys County,Tennessee,18281,23498,18.4,6.4
Jackson County,Tennessee,11573,18643,22.3,9.3
Jefferson County,Tennessee,52887,23724,13.8,6.2
Johnson County,Tennessee,17846,19183,25.3,6.0
Knox County,Tennessee,452286,30541,15.8,5.5
Lake County,Tennessee,7588,14232,29.9,11.3
Lauderdale County,Tennessee,26497,17178,23.1,9.9
Lawrence County,Tennessee,42591,19879,18.3,8.8
Lewis County,Tennessee,11944,20099,22.1,4.0
Lincoln County,Tennessee,33543,24029,16.9,5.9
Loudon County,Tennessee,51024,30177,13.7,6.6
McMinn County,Tennessee,52569,21583,19.7,8.3
McNairy County,Tennessee,25945,19745,21.6,13.6
Macon County,Tennessee,23239,20666,18.6,5.8
Madison County,Tennessee,97887,24600,20.3,6.2
Marion County,Tennessee,28355,23807,18.1,6.0
Marshall County,Tennessee,31753,23920,13.5,6.5
Maury County,Tennessee,87606,25872,13.0,6.2
Meigs County,Tennessee,11830,22542,16.6,9.9
Monroe County,Tennessee,45698,20353,20.4,9.3
Montgomery County,Tennessee,192120,24827,14.2,7.5
Moore County,Tennessee,6302,31479,7.7,5.0
Morgan County,Tennessee,21639,18649,22.9,7.6
Obion County,Tennessee,30659,21939,23.0,8.3
Overton County,Tennessee,21995,19961,19.6,5.3
Perry County,Tennessee,7882,20204,29.4,6.2
Pickett County,Tennessee,5071,21300,18.8,3.9
Polk County,Tennessee,16722,24247,17.0,6.1
Putnam County,Tennessee,75565,23337,23.3,6.8
Rhea County,Tennessee,32478,22031,21.9,7.9
Roane County,Tennessee,52926,25555,15.4,8.2
Robertson County,Tennessee,68575,26441,11.3,6.9
Rutherford County,Tennessee,298456,27932,11.8,5.1
Scott County,Tennessee,21949,18748,26.2,9.4
Sequatchie County,Tennessee,14654,22744,14.4,7.8
Sevier County,Tennessee,95523,23298,15.3,6.2
Shelby County,Tennessee,937847,28117,20.8,8.6
Smith County,Tennessee,19279,23015,14.1,3.7
Stewart County,Tennessee,13248,22680,19.0,8.2
Sullivan County,Tennessee,156519,25946,16.6,6.8
Sumner County,Tennessee,175730,30669,9.7,4.5
Tipton County,Tennessee,61434,26110,14.6,8.1
Trousdale County,Tennessee,8773,22863,13.3,8.2
Unicoi County,Tennessee,17830,21374,20.1,10.8
Union County,Tennessee,19176,20478,21.6,7.2
Van Buren County,Tennessee,5675,20672,19.5,11.6
Warren County,Tennessee,40210,21339,21.6,6.8
Washington County,Tennessee,126437,27334,16.5,5.3
Wayne County,Tennessee,16713,18702,19.6,8.4
Weakley County,Tennessee,33776,19699,20.5,8.3
White County,Tennessee,26394,19867,17.6,9.3
Williamson County,Tennessee,212161,48482,4.6,3.6
Wilson County,Tennessee,128874,31155,9.2,4.5
Anderson County,Texas,57747,17466,15.7,4.3
Andrews County,Texas,17577,29903,11.9,4.5
Angelina County,Texas,87700,21974,19.1,7.6
Aransas County,Texas,24832,29999,17.8,6.7
Archer County,Texas,8793,31103,8.8,3.0
Armstrong County,Texas,1929,31219,7.5,1.8
Atascosa County,Texas,48139,23973,14.6,6.1
Austin County,Texas,29292,30101,13.4,5.4
Bailey County,Texas,7098,18662,22.3,2.2
Bandera County,Texas,21316,29177,16.5,5.7
Bastrop County,Texas,80306,25172,13.3,7.7
Baylor County,Texas,3602,30820,13.1,2.3
Bee County,Texas,32729,17504,19.7,6.3
Bell County,Texas,336506,25017,14.3,8.3
Bexar County,Texas,1892004,26158,16.4,6.1
Blanco County,Texas,11089,31249,10.8,5.7
Borden County,Texas,602,38923,2.8,1.5
Bosque County,Texas,17955,25763,15.6,5.2
Bowie County,Texas,93635,24761,17.9,7.3
Brazoria County,Texas,345995,32343,9.9,4.9
Brazos County,Texas,214231,25337,26.0,4.7
Brewster County,Texas,9220,26073,10.9,7.1
Briscoe County,Texas,1591,23199,13.9,6.2
Brooks County,Texas,7251,13549,41.5,13.8
Brown County,Texas,37787,24040,16.4,4.3
Burleson County,Texas,17596,27112,15.1,6.7
Burnet County,Texas,45017,29247,12.3,4.3
Caldwell County,Texas,40544,23366,17.7,3.4
Calhoun County,Texas,21821,26909,15.8,6.3
Callahan County,Texas,13660,22205,15.6,3.5
Cameron County,Texas,420201,16085,31.2,8.0
Camp County,Texas,12670,21069,17.4,6.1
Carson County,Texas,6033,31788,6.4,1.9
Cass County,Texas,30118,22145,18.5,7.3
Castro County,Texas,7891,22292,15.9,4.2
Chambers County,Texas,39283,31412,12.9,6.5
Cherokee County,Texas,51594,21102,18.7,6.1
Childress County,Texas,7064,18694,19.6,5.2
Clay County,Texas,10369,27593,15.0,7.2
Cochran County,Texas,2932,19195,24.8,8.0
Coke County,Texas,3238,24623,16.6,4.3
Coleman County,Texas,8422,26436,20.3,5.1
Collin County,Texas,914075,41609,6.9,4.3
Collingsworth County,Texas,3026,21356,15.0,7.1
Colorado County,Texas,20913,26689,12.0,2.9
Comal County,Texas,129100,35841,9.2,3.8
Comanche County,Texas,13492,22751,18.2,3.6
Concho County,Texas,3858,17513,8.5,0.4
Cooke County,Texas,39064,29067,13.9,5.2
Coryell County,Texas,75818,21171,13.3,9.9
Cottle County,Texas,1498,20566,24.5,10.7
Crane County,Texas,4836,24582,11.8,2.6
Crockett County,Texas,3836,23296,20.9,2.4
Crosby County,Texas,5895,20057,20.8,7.7
Culberson County,Texas,2257,16763,29.4,5.3
Dallam County,Texas,7207,25221,15.9,3.7
Dallas County,Texas,2552213,29810,17.7,5.9
Dawson County,Texas,13095,21360,18.5,6.7
Deaf Smith County,Texas,18947,21209,18.0,5.0
Delta County,Texas,5172,22732,22.9,6.4
Denton County,Texas,781321,37928,8.4,4.5
DeWitt County,Texas,20474,28116,16.0,6.5
Dickens County,Texas,2224,24171,16.6,15.0
Dimmit County,Texas,10822,17939,30.2,15.0
Donley County,Texas,3433,23212,14.9,4.6
Duval County,Texas,11434,19085,25.2,13.6
Eastland County,Texas,18278,20433,17.4,5.7
Ector County,Texas,155744,27728,12.3,6.9
Edwards County,Texas,2111,28968,7.0,5.1
Ellis County,Texas,164092,28612,10.5,4.6
El Paso County,Texas,834825,19950,21.7,7.0
Erath County,Texas,41016,23511,22.6,4.3
Falls County,Texas,17289,17755,25.2,6.1
Fannin County,Texas,33787,23212,14.8,5.2
Fayette County,Texas,24963,30405,9.1,1.5
Fisher County,Texas,3875,27750,17.4,5.6
Floyd County,Texas,5953,24347,18.2,6.4
Foard County,Texas,1414,26034,5.7,11.3
Fort Bend County,Texas,711421,38382,8.1,5.3
Franklin County,Texas,10639,23642,15.0,7.6
Freestone County,Texas,19646,24060,17.3,4.2
Frio County,Texas,19110,16833,20.3,7.3
Gaines County,Texas,19889,22656,11.0,4.5
Galveston County,Texas,321184,33870,13.9,6.5
Garza County,Texas,6739,20635,13.5,2.0
Gillespie County,Texas,25939,32557,12.4,5.0
Glasscock County,Texas,1420,32885,11.6,0.0
Goliad County,Texas,7510,30075,16.4,6.4
Gonzales County,Texas,20558,23635,17.2,5.1
Gray County,Texas,22962,23457,14.9,4.9
Grayson County,Texas,126146,26535,14.3,6.5
Gregg County,Texas,123402,25144,17.6,4.8
Grimes County,Texas,27358,23585,18.6,5.5
Guadalupe County,Texas,150889,29300,10.6,4.5
Hale County,Texas,34527,19205,19.8,6.4
Hall County,Texas,3102,20022,22.2,13.0
Hamilton County,Texas,8220,26522,16.1,3.1
Hansford County,Texas,5532,21989,18.7,3.8
Hardeman County,Texas,3990,21517,13.8,6.7
Hardin County,Texas,55993,29693,12.0,4.4
Harris County,Texas,4525519,30856,16.8,6.4
Harrison County,Texas,66606,25123,17.9,7.2
Hartley County,Texas,5821,20676,8.1,1.2
Haskell County,Texas,5806,21120,19.3,9.5
Hays County,Texas,194843,29253,15.3,5.3
Hemphill County,Texas,4152,29470,8.8,6.9
Henderson County,Texas,79687,24315,18.0,6.2
Hidalgo County,Texas,839539,15883,31.8,8.1
Hill County,Texas,35098,23342,17.5,8.1
Hockley County,Texas,23273,22673,14.9,7.4
Hood County,Texas,55418,32578,12.3,3.0
Hopkins County,Texas,35929,24236,17.9,5.9
Houston County,Texas,22849,17884,24.7,4.5
Howard County,Texas,36491,22994,13.9,6.7
Hudspeth County,Texas,3702,12543,35.6,5.7
Hunt County,Texas,90322,23942,18.8,6.5
Hutchinson County,Texas,21704,25154,16.4,5.2
Irion County,Texas,1592,32307,13.5,6.9
Jack County,Texas,8839,25553,18.2,3.6
Jackson County,Texas,14756,26809,13.7,4.7
Jasper County,Texas,35444,21402,16.8,10.3
Jeff Davis County,Texas,2236,25167,6.7,5.1
Jefferson County,Texas,254574,25370,19.4,6.5
Jim Hogg County,Texas,5262,17761,26.0,17.0
Jim Wells County,Texas,41318,20631,23.0,5.3
Johnson County,Texas,160173,26574,11.0,4.9
Jones County,Texas,19969,17960,15.9,4.2
Karnes County,Texas,15051,27011,19.3,4.1
Kaufman County,Texas,114852,26631,12.4,6.5
Kendall County,Texas,40306,39517,5.7,4.4
Kenedy County,Texas,564,13705,24.8,0.0
Kent County,Texas,680,27515,17.9,1.6
Kerr County,Texas,50761,28484,13.8,6.0
Kimble County,Texas,4432,26982,22.1,6.4
King County,Texas,289,29918,3.5,6.0
Kinney County,Texas,3631,21395,10.6,8.1
Kleberg County,Texas,31540,19806,23.7,9.7
Knox County,Texas,3753,21046,14.7,5.1
Lamar County,Texas,49401,23625,17.8,5.6
Lamb County,Texas,13368,21760,20.5,3.6
Lampasas County,Texas,20473,26405,12.0,7.4
La Salle County,Texas,7418,26268,8.2,5.4
Lavaca County,Texas,19859,29946,10.5,2.9
Lee County,Texas,16850,26740,13.8,4.5
Leon County,Texas,16966,27096,16.3,7.1
Liberty County,Texas,79884,22153,16.2,7.8
Limestone County,Texas,23480,21093,20.7,10.3
Lipscomb County,Texas,3495,29995,10.5,5.2
Live Oak County,Texas,12043,22847,16.3,3.8
Llano County,Texas,20195,35680,12.5,8.3
Loving County,Texas,74,35530,17.1,0.0
Lubbock County,Texas,298042,26196,18.8,4.8
Lynn County,Texas,5785,26758,18.0,8.1
McCulloch County,Texas,8145,23398,16.3,3.2
McLennan County,Texas,245720,24273,19.3,5.1
McMullen County,Texas,600,33472,7.0,26.3
Madison County,Texas,13979,17436,15.4,3.1
Marion County,Texas,10140,25933,22.3,10.7
Martin County,Texas,5547,28560,7.0,1.9
Mason County,Texas,4122,24519,12.6,2.8
Matagorda County,Texas,36744,23294,20.6,6.4
Maverick County,Texas,57471,16658,24.5,12.9
Medina County,Texas,48548,25572,12.7,5.3
Menard County,Texas,2123,23613,9.8,5.1
Midland County,Texas,159883,38545,8.7,3.5
Milam County,Texas,24479,22911,16.0,5.5
Mills County,Texas,4887,24858,14.9,2.9
Mitchell County,Texas,8774,19741,7.9,6.4
Montague County,Texas,19406,26278,15.5,6.6
Montgomery County,Texas,535187,38012,10.3,4.9
Moore County,Texas,22016,21372,16.9,4.1
Morris County,Texas,12530,22803,15.7,9.9
Motley County,Texas,1114,25908,12.2,8.1
Nacogdoches County,Texas,65411,22589,24.9,8.6
Navarro County,Texas,48239,22152,18.8,9.4
Newton County,Texas,14187,20800,15.7,11.6
Nolan County,Texas,14990,23686,16.8,7.1
Nueces County,Texas,358484,26780,16.7,5.9
Ochiltree County,Texas,10484,24157,13.0,7.6
Oldham County,Texas,2083,25461,11.1,3.8
Orange County,Texas,83909,27938,14.2,6.0
Palo Pinto County,Texas,28109,24840,18.3,7.9
Panola County,Texas,23574,26205,15.3,3.8
Parker County,Texas,125963,33367,9.2,5.5
Parmer County,Texas,9871,21876,17.3,2.8
Pecos County,Texas,15804,19088,11.5,3.7
Polk County,Texas,46974,23023,18.7,8.5
Potter County,Texas,121230,21941,21.7,4.2
Presidio County,Texas,7191,15329,26.3,9.8
Rains County,Texas,11246,23976,13.1,5.7
Randall County,Texas,130552,32922,9.6,3.7
Reagan County,Texas,3735,25273,18.0,3.9
Real County,Texas,3358,20873,20.2,6.1
Red River County,Texas,12353,21177,16.5,9.0
Reeves County,Texas,14791,18992,13.2,8.0
Refugio County,Texas,7293,23959,16.6,7.9
Roberts County,Texas,889,34555,3.3,2.4
Robertson County,Texas,16727,23337,15.2,7.7
Rockwall County,Texas,90414,38933,5.8,4.9
Runnels County,Texas,10266,22190,16.3,3.2
Rusk County,Texas,53026,23521,15.8,5.7
Sabine County,Texas,10429,20876,20.0,7.1
San Augustine County,Texas,8403,21066,24.4,13.4
San Jacinto County,Texas,27436,22308,17.2,6.5
San Patricio County,Texas,66867,24613,15.2,4.9
San Saba County,Texas,5851,22481,17.4,3.2
Schleicher County,Texas,3122,28112,10.2,6.3
Scurry County,Texas,17346,24140,12.8,4.6
Shackelford County,Texas,3348,24296,17.7,7.0
Shelby County,Texas,25689,20686,23.1,7.4
Sherman County,Texas,3067,25358,14.8,1.5
Smith County,Texas,222277,26270,16.3,6.5
Somervell County,Texas,8650,27095,21.5,2.8
Starr County,Texas,63420,13167,35.0,15.0
Stephens County,Texas,9365,23044,21.3,4.7
Sterling County,Texas,1139,25675,17.0,2.6
Stonewall County,Texas,1084,28063,13.9,2.4
Sutton County,Texas,3894,31603,6.5,5.9
Swisher County,Texas,7541,18878,22.2,5.9
Tarrant County,Texas,1983675,30857,13.5,5.4
Taylor County,Texas,135371,25419,16.1,4.4
Terrell County,Texas,721,21204,17.1,6.8
Terry County,Texas,12755,21938,13.7,9.4
Throckmorton County,Texas,1541,27732,17.1,5.2
Titus County,Texas,32664,21090,19.3,6.1
Tom Green County,Texas,116906,27513,12.9,3.8
Travis County,Texas,1176584,38820,13.9,4.5
Trinity County,Texas,14481,20369,18.4,10.2
Tyler County,Texas,21456,21172,15.8,9.5
Upshur County,Texas,40506,24088,13.8,8.3
Upton County,Texas,3575,25290,18.0,1.1
Uvalde County,Texas,27015,19146,17.9,5.9
Val Verde County,Texas,48976,20160,20.9,6.6
Van Zandt County,Texas,53607,25394,14.2,5.9
Victoria County,Texas,91518,28181,14.8,5.1
Walker County,Texas,70818,17194,24.3,3.4
Waller County,Texas,48443,23888,18.0,7.8
Ward County,Texas,11498,26860,11.6,6.1
Washington County,Texas,34667,28517,13.2,6.2
Webb County,Texas,269624,16316,31.5,5.7
Wharton County,Texas,41430,25867,17.5,5.3
Wheeler County,Texas,5599,25809,19.2,5.6
Wichita County,Texas,131778,23263,18.9,4.8
Wilbarger County,Texas,12972,21938,16.5,5.8
Willacy County,Texas,21839,13369,35.6,14.5
Williamson County,Texas,508313,34575,7.0,4.8
Wilson County,Texas,47205,29862,10.2,6.0
